# Model: Local min.
# Energy-squared per-flavour neutrino fluxes, assuming neutrino equipartition
# Energy in [GeV], FluxE2 in [GeV cm^-2 sr^-1 s^-1]
Energy,FluxE2
4.372e+10,-1.518e-13
4.443e+10,-1.477e-13
4.515e+10,-1.432e-13
4.588e+10,-1.384e-13
4.663e+10,-1.334e-13
4.739e+10,-1.283e-13
4.816e+10,-1.229e-13
4.894e+10,-1.174e-13
4.974e+10,-1.118e-13
5.055e+10,-1.060e-13
5.137e+10,-1.003e-13
5.221e+10,-9.444e-14
5.305e+10,-8.863e-14
5.392e+10,-8.285e-14
5.479e+10,-7.712e-14
5.569e+10,-7.147e-14
5.659e+10,-6.595e-14
5.751e+10,-6.056e-14
5.845e+10,-5.535e-14
5.940e+10,-5.034e-14
6.036e+10,-4.556e-14
6.135e+10,-4.104e-14
6.234e+10,-3.679e-14
6.336e+10,-3.280e-14
6.439e+10,-2.906e-14
6.544e+10,-2.557e-14
6.650e+10,-2.231e-14
6.758e+10,-1.927e-14
6.868e+10,-1.645e-14
6.980e+10,-1.384e-14
7.093e+10,-1.144e-14
7.209e+10,-9.219e-15
7.326e+10,-7.187e-15
7.445e+10,-5.330e-15
7.566e+10,-3.640e-15
7.689e+10,-2.108e-15
7.814e+10,-7.254e-16
7.941e+10,5.158e-16
8.071e+10,1.624e-15
8.202e+10,2.609e-15
8.335e+10,3.477e-15
8.471e+10,4.238e-15
8.609e+10,4.898e-15
8.749e+10,5.462e-15
8.891e+10,5.936e-15
9.036e+10,6.325e-15
9.183e+10,6.633e-15
9.332e+10,6.867e-15
9.484e+10,7.032e-15
9.638e+10,7.133e-15
9.795e+10,7.175e-15
9.954e+10,7.163e-15
1.012e+11,7.103e-15
1.028e+11,7.000e-15
1.045e+11,6.859e-15
1.062e+11,6.686e-15
1.079e+11,6.486e-15
1.097e+11,6.264e-15
1.114e+11,6.025e-15
1.133e+11,5.775e-15
1.151e+11,5.519e-15
1.170e+11,5.262e-15
1.189e+11,5.005e-15
1.208e+11,4.749e-15
1.228e+11,4.495e-15
1.248e+11,4.243e-15
1.268e+11,3.994e-15
1.289e+11,3.748e-15
1.310e+11,3.505e-15
1.331e+11,3.267e-15
1.352e+11,3.034e-15
1.374e+11,2.806e-15
1.397e+11,2.585e-15
1.420e+11,2.369e-15
1.443e+11,2.161e-15
1.466e+11,1.960e-15
1.490e+11,1.767e-15
1.514e+11,1.583e-15
1.539e+11,1.408e-15
1.564e+11,1.243e-15
1.589e+11,1.088e-15
1.615e+11,9.439e-16
1.641e+11,8.100e-16
1.668e+11,6.862e-16
1.695e+11,5.719e-16
1.723e+11,4.668e-16
1.751e+11,3.706e-16
1.779e+11,2.827e-16
1.808e+11,2.029e-16
1.838e+11,1.307e-16
1.868e+11,6.572e-17
1.898e+11,7.558e-18
1.929e+11,-4.418e-17
1.960e+11,-8.989e-17
1.992e+11,-1.300e-16
2.024e+11,-1.648e-16
2.057e+11,-1.949e-16
2.091e+11,-2.205e-16
2.125e+11,-2.420e-16
2.159e+11,-2.599e-16
